name,category,symptom_list,description,url
castor oil toxicity,toxic,"diarrhea (often bloody), weakness, fever, depression, sweating, incoordination, weak pulse, convulsions, trembling, colic signs","castor oil (ricinus communis), also referred to as castor bean, is a type of long-lived perennial shrub from the euphorbiaceae family. castor oil is native to africa, but has been introduced to tropical and subtropical regions worldwide. the plant is known for its distinctive green to reddish purple, spiny fruit capsules that contain large, oval, shiny, bean-like, highly poisonous seeds. the most toxic part of the plant are it's seeds, which contain ricin-- a highly poisonous lectin (a carbohydrate-binding protein). seeds ingested at 0.01% of the body weight are lethal to horses; this amount is often contained within a single seed. clinical signs of poisoning may be delayed 12 hours or more following ingestion of seeds.",https://horsedvm.com/disease/castor-bean-toxicity
cataracts,sensory,"milky appearing pupil, evidence of impaired vision, blindness","cataracts are the clouding of the lens inside the eye which affects the horse's vision, blocking images as opposed to light. cataracts can be developmental (including congenital forms), or acquired secondary in horses. developmental cataracts are the most common form of cataracts affecting horses, and most are congenital. the severity depends on the location and extent of the lens opacity. if the entire lens is affected, it causes blindness. cataracts classification cataracts are classified according to the stage of development (incipient, immature, mature or hypermature), location (anterior, posterior, perinuclear, nuclear or equatorial, capsular, subcapsular or cortical), age of onset (congenital, juvenile, senile) and cause (traumatic, inflammatory, hereditary). treatment options for horses with cataracts not all cataracts may require treatment. for those that do, cataracts can be surgically removed through a procedure known as phacoemulsification. it involves the surgeon using a special probe that vibrates at ultrasonic frequencies to liquefy and break apart the cataract followed by vacuuming it out of the eye. this procedure has had good short-term success for horses with cataracts, however it has not been as favorable for long-term success.",https://horsedvm.com/disease/equine-cataracts
cauda equina neuritis,neurological,"progressive tail paralysis, inability to constrict the anus, ataxia, muscle atrophy, head tilt, constipation, drooling, urinary incontinence, loss of tongue tone, hindlimb weakness, stiff gait","cauda equina neuritis, also known as polyneuritis equi, is a rarely recognized noninfectious, chronic relapsing, peripheral neurodegenerative disorder in horses. cauda equina is latin for 'horse's tail', since it resembles a horse's tail. the disease was initially described in horses in 1897 in germany. since than, it has been reported in horses throughout europe and the united states. it affects the horse's sacral and coccygeal nerves (a bundle of spinal nerves and spinal nerve roots, which are located in the spinal cord), leading to paralysis of the tail, rectum, and bladder. cauda equina neuritis is found in a variety of horse breeds and ponies with a wide age range. recent research suggests that cauda equina neuritis may be associated with infection with sarcocystis neurona, which is the same parasite that causes equine protozoal myeloencephalitis (epm). however, the traditional theory for the cause of cauda equina neuritis is that it is immune mediated. clinical signs the most common clinical signs of cauda equina neuritis in horses include hyperesthesia (tail rubbing and hypersensitivity to touch), behavioral changes, prolapsed penis, fecal retention, cystitis, and urine scalding of the limbs. mild pelvic limb weakness, ataxia, and muscle atrophy in the hind end region may be found.",https://horsedvm.com/disease/cauda-equina-neuritis
cellulitis,integumentary,"hot, painful soft tissue swelling, pitting when pressure is applied to skin, acute onset of severe lameness, fever","cellulitis is the inflammation of the superficial tissue layers beneath the skin, caused by a bacterial infection. it usually occurs secondary to a wound or infection of the deeper tissues. wounds may even be superficial and small, however anything that breaks down the skin barrier provides a pathway for bacterial organisms to enter the body. moderate to severe cases of rainrot can sometimes cause cellulitis in horses, due to secondary invasion by bacteria. cellulitis usually starts around the immediate area of the infection, such as the wound or joint, etc. however it will quickly spread downward and sometimes upward in the affected leg. horses with cellulitis may also be lame. horses that develop cellulitis as a result of a superficial wound are usually mildly lame however if it develops as a result of a deeper tissue infection, such as septic arthritis at a joint, lameness is usually moderate to severe. cellulitis is distinguishable from 'stocking up' through noting the temperature of the swollen area, as cellulitis will feel warm to the touch, as opposed to stocking up, which feels normal or slightly cool. horses with stocking up also will have bilateral swelling--in that both legs will be swollen. horses with cellulitis may sometimes have both legs swollen if they have an infection in both legs, but it is more likely that it will be usually be associated with one leg, not both. every time cellulitis occurs, it caused lymphatic inflammation and possibly some permanent damage. severe or repeated episodes of cellulitis can lead to lymphedema.",https://horsedvm.com/disease/cellulitis
cerebellar abiotrophy,foals,"head tremors, ataxia, excessively high-stepping gait in the forelimbs, wide-based stance, unable to rise from lying down, hyperreactivity, poor depth perception",cerebellar abiotrophy (ca) is a rare neurological disease characterized by intrinsic spontaneous degeneration of premature neuronal cells. ca most commonly affects arabians and arabian crossbreds but has also been reported in the oldenburg horse breed and gotland and eriskay ponies. most foals with ca appear normal at birth.,https://horsedvm.com/disease/cerebellar-abiotrophy-in-horses
choke,digestive,"excessive salivation, coughing, food particles dripping from mouth and nostrils, repeated head and neck extension, difficulty swallowing, muscle spasms, anxiousness, retching","oesophageal obstruction, commonly referred to as 'choke', is an emergency condition in horses caused by the acute obstruction of the oesophagus by impacted, dry ingesta. it usually occurs during or briefly following feeding time at horse stables. horses presenting with 'choke' are usually observed in a distressed behavioral state with copious reflex of a combination of saliva, ingesta and fluid coming out of the nostrils and mouth. ingestion of inadequately soaked sugar beet pulp can cause 'choke' in horses, as the dry fibrous material swells with the absorption of saliva in the oesophagus. the expanding bolus occludes the oesophageal lumen and subsequent boluses compound the obstruction.",https://horsedvm.com/disease/choke-in-horses
chronic progressive lymphedema,immune,"severe swelling of the lower legs, skin thickening, hardening of the skin, firm nodules, chronic secondary infections","chronic progressive lymphedema (cpl) is a debilitating disorder that affects the horse's lymphatic system in the lower limbs. it most commonly affects draft horse breeds, such as shires, belgians, friesians, and clydesdales. cpl develops early in the horse's life and often ends in severe limb disfigurement and disability of the limbs. the disease is similar to elephantiasis nostras verrucosa found in humans. the clinical signs of cpl are highly variable, and often only visible after clipping the long feathering on the lower legs of the horse. as cpl becomes more chronic, the lower leg enlargement becomes permanent and swelling becomes firm and thickened. the nodules can become large (""golf ball"") size. it is suspected that a deficiency or abnormality of the connective tissue elastin is the underlying cause of cpl. latest research the university of california-davis is currently conducting clinical trials in order to identify the genetic component involved in the development of cpl in friesian horse breeds. friesian horses with or without cpl are invited to participate in the study, however those horses with cpl must be at least 10 years of age. click here for additional information about the research and clinical trial.",https://horsedvm.com/disease/chronic-progressive-lymphoedema-in-horses
cleft palate,foals,"bilateral nasal discharge, milk or other feed coming out of one or both nostrils, difficulty swallowing, coughing, poor growth","cleft palate, also known as palatoschisis, is a type of congenital defect that affects between 0.1% to 0.2% of the horse population. it is the malformation of the soft and sometimes hard palate where the left and right side fail to unite, forming a cleft. although cleft palate is considered to be uncommon in horses, it is one of the most common craniofacial defect in congenitally deformed foals and fetuses. between 1 to 4% of foals are born with congenital defects. cleft palate occurs in a wide range of animal species, including humans. the cause is not well understood, and is thought to be multi-factorial, and is associated with genetics, environmental, metabolic, hormonal, nutritional, and exposure to toxins. in cattle and pigs, the occurrence of cleft palate in offspring has been associated with ingestion of certain toxic plants (such as poison hemlock, wild tobacco tree, lupines, and wild parsnip), an autosomal recessive trait, selenium and manganese deficiencies, bovine viral diarrhea virus, and akabane virus infections. in cattle, cleft palates often occur concurrently with arthrogryposis. in horses, cleft palate most commonly affects the caudal 1/2 to 2/3rds of the foal's soft palate. the extent of clinical signs varies depending on the severity of the defect. the most common clinical signs in foals are difficulty swallowing with nasal discharge of milk occurring in both nostrils, immediately after nursing.",https://horsedvm.com/disease/equine-cleft-palate
clostridial myonecrosis,integumentary,"high fever, oozing from wound, stiffness, swelling, behavior changes, circling, collapse","clostridial myonecrosis is a rare and acute, bacterial disease associated with clostridium spp., spore-forming, rod-shaped, gram-positive, anaerobes which are known to produce a variety of toxins, many of which are fatal. clostridium spp. are commonly found throughout the environment and inhabit soil, sewage, and marine sediments, as well as the intestines of both animals and humans. clostridial myonecrosis can occur from giving horses intramuscular injections or from unclean wounds, particularly those caused by sharp objects. complications of infection can cause haemolytic anaemia, hepatopathy, osteitis, and transient hypertrophic cardiomyopathy.",https://horsedvm.com/disease/malignant-edema-clostridial-in-horses
clover toxicity,integumentary,"weight loss, weakness, loss of appetite, ataxia, colic, diarrhea, oral lesions, jaundice, behavior changes, photosensitivity","clover toxicity is caused by consumption of alsike clover (trifolium hybridum) or red clover (trifolium pratense). there are two forms of toxicity associated with ingestion of these two species of clover---photosensitivity and liver failure. both species of clover are found in pastures throughout north america and grow best in cool climates with heavy, poorly drained clay soils. alsike clover thrives in adverse weather conditions such as cold, drought and excess rain, which often causes it to become invasive, taking over the pasture and replacing the grass. the majority of toxic cases occur between april and november. horses need only to ingest as little as 5% of fresh pasture or contaminated hay to begin to develop signs of toxicity. signs usually develop 2-4 weeks following ingestion. the potency of the toxin is increased if consumed with dew or under hot and humid conditions.",https://horsedvm.com/disease/clover-toxicity
club foot,foals,"prominent or bulging coronary band, very upright hoof wall angle, heel not touching the ground, dish in the hoof wall at the toe","club foot is a congenital or acquired flexural deformity of the distal interphalangeal joint (dipj) in young horses and a hoof capsule distortion as a result of shortening of the deep digital flexor musculotendinous apparatus. most club feet are handled while the horse is young. an acquired club foot as an adult is most likely caused by chronic lameness or an injury. horses with club feet are at risk of developing a number of hoof and leg injuries. some of these injuries include toe and quarter cracks, white line disease, laminitis, poor quality hoof, contracted heels, and inflammation of the suspensory ligaments of the navicular bone. this is due to the hoofs inability to load and dissipate energy well which causes the vibratory forces to transfer into the bony digit structures.",https://horsedvm.com/disease/club-foot-in-horses
coccidioidomycosis,infectious,"weight loss, fever, coughing, increased respiratory rate, respiratory signs, lameness","coccidioidomycosis, also known as valley fever, is an infectious fungal disease caused by coccidioides fungi, most commonly c. immitis. c. immitis resides in soils of the western hemisphere, and is present in north, central, and south america. the fungus is found in the southwestern united states, most commonly southern california, arizona, utah, nevada, new mexico, texas, and areas of mexico. cases of coccidioidomycosis occur sporadically in horses, however it is thought that there is an association between increased outbreaks in horses during periods of drought and dry summers resulting from poor or delayed rainfall. coccidioidomycosis can occur in horses in three different forms---as a respiratory infection, systemic infection, or as a localized subcutaneous infection. clinical signs vary depending on the form and severity of the infection; however, common signs include significant weight loss, fever, and current or history of respiratory signs (such as increased respiratory rate, coughing, evidence of pleural fluid, adventitial lung sounds). other signs observed in horses reflect the specific organ systems infected.respiratory infection: horses with pulmonary fungal infections often develop pulmonary granulomas, diffuse pneumonia, or pleuropneumonia. most commonly observed clinical signs include nasal discharge, tachypnea (abnormally rapid breathing), coughing, difficulty breathing, and if a chronic condition, weight loss.systemic infection: systemic fungal infections can have an insidious progression, often presenting with nonspecific clinical signs. it can affect multiple organ systems and body cavities.localized subcutaneous infection: this is the rarest manifestation of coccidioidomycosis in horses.transmission coccidioides fungi live in the soil and are transmitted through inhalation of contaminated dust and rarely through skin puncture. coccidioides infection has been reported in over 64 different animal species, as well as in humans. incubation period horses typically can develop signs within 1-4 weeks after exposure, however the majority don't develop signs until months to years after initial exposure.",https://horsedvm.com/disease/coccidioidomycosis-horse-valley-fever
coffin bone fracture,hoof,"lameness, reluctance to walk","the coffin bone, also known as the pedal bone, third phalanx, distal phalanx, and os pedis, is located in the horse's foot. it is completely encompassed by the hoof wall, and is where the horse's body weight rests as a pressure-force before it is transferred to the hoof plate. coffin bone fractures can occur a number of ways, some of the most common being:stepping on a rockexercising or getting turned out in areas with very hard or irregular surface, such as dried clay, rocky, or frozen groundkicking at a stall walljumping and coming down very hard, or at an anglecoffin bone fractures can occur along the wing (side), center (body), extensor process, or solar margin (perimeter) of the coffin bone. clinical presentation of horses with coffin bone fractures the degree of lameness in affected horses varies depending on the location of the fracture. extensor process and solar margin fractures usually result in slight lameness (grade 1-2 of 5), where center and wing fractures tend to cause moderate to severe lameness (grade 4-5 of 5). since the coffin bone is completely enclosed within the hoof capsule, there will not be any swelling or pain on palpation. diagnosis of coffin bone fractures coffin bone fractures are often difficult to diagnose. since there is no obvious signs of a fracture (swelling or pain on palpation), and lameness varies depending on the portion of the bone that's fractures. the only way to diagnose a coffin bone fracture is with radiography. however, since the hoof wall restricts separation of the fracture pieces, the fracture may not show up in radiographs until a couple days following the injury.",https://horsedvm.com/disease/coffin-bone-fractures-in-horses
colic,digestive,"repeatedly getting up and down, rolling or attempting to roll, reduction in gut sounds, pawing the ground repeatedly, repeated kicking or biting at stomach, prolonged periods of laying down, stretching out as if to urinate, sitting in a dog-like position, decreased or absent feces, weight shifting, rapid respiration and/or flared nostrils, elevated pulse rate, depression, restlessness, sweating, diarrhea, dullness, frequently passing gas","colic is a term used to describe abdominal pain, that is one of the most common equine emergencies worldwide. colic has a reported incidence rate of 4-26 episodes per horse-years-at-risk, and a case fatality rate of 6.7-11% for horses living in the united kingdom and the united states. there are many risk factors that have been reported to be associated with an increased likelihood of colic. identified risk factors include:history of previous colic episodesagebreedfeed-associated: coarse feedstuffs, sudden changes in feed quantity or type, missed meals, poor water intake, ingestion of nonfood substances, ingestion of poisonous plants, feed management, hay quality, presence of mycotoxinsseasonally and weather influencedbehavior-associated: history of cribbing/windsuckinggeographically-associated: soil type, hay typepreventative-management-associated: internal parasite load, lack of routine dental caregeographically-associated: horses living in or originating from a particular geographic area are more at risk of developing specific types of colic. for example, horses living in areas with sandy soil are more at risk of developing sand colic and enterolithiasis than horses residing in clay soil areas. diet-associated: risk factors relating to diet are usually associated with increased incidences of gastrointestinal impaction. these include feeding too much grain, poor quality grain, course roughage with low digestibility or course fiber (such as coastal bermuda grass hay), feeding round bales, lush pasture, changes in hay or grain type, sudden changes in feed routine or quantity, and missed meals. common intestinal causes of colicwith colic, it is critical that it is recognized early by horse caretakers. however it is important to note that signs can vary greatly between horses based on their individual pain tolerance and severity of the pain they are experiencing. 90% of colic cases can be treated medically by the veterinarian if addressed promptly, however some require immediate emergency surgery to correct the problem. equine management practices should include a strong emphasis on colic-prevention and colic recognition. horses with a history of colic, living in more-colic prone regions, or during possible colic-associated weather patterns or seasons should receive increased attention during these periods. measures should be taken to ensure horses have access to, and are drinking enough water on a daily basis. some of these measures may include:adding water to feedfilling up water troughs or water buckets daily (studies have shown that horses tend to drink more when there is more water available to them)supplementing the diet with electrolytesproviding multiple fresh water sources",https://horsedvm.com/disease/colic
colitis,digestive,"fever, rapid breathing, colic, elevated respiratory rate, rapid heart rate, lethargy, severe diarrhea, extreme dehydration, shock, sudden death","colitis is an acute, highly fatal disease associated with an inflammation of the horse's colon. colitis is a serious disease for horses, due to the large size of their colon. two of the major infectious agents involved with the development of colitis are clostridium difficile and salmonella. c. perfringens is also thought to play a role since it is frequently found in the large intestine of horses with colitis, however its specific involvement is unknown. there are a number of different causes associated with the development of colitis, which include both infectious and noninfectious involvement. noninfectious causes include parasites, the use of nsaids and antimicrobials, consumption of blister beetles in alfalfa hay, or consumption of various types of poisonous plants. some plants frequently recognized as cause of colitis include acorn and young oak leaves, oleander, buttercups, nightshades, rhododendron and azaleas, pokeweed, and castor bean.",https://horsedvm.com/disease/colitis
collateral ligament injury,musculoskeletal,"poor performance, chronic or acute rear limb lameness, lameness, lameness worsens with exercise, swelling, thickening and pain, shortened stride length, toe dragging","collateral ligament (col) injuries can occur in the tarsus (hock), elbow, and stifle. horses will present with differing clinical signs depending on the location and severity of the injury.col injuries to the stifle: col injuries of the stifle occur most frequently in performance horses that jump (eventers, show jumpers, steeplechasers and hunters) or those that participate in disciplines with sudden stops or turns (barrel racing and polo). the medial col attaches to the medial meniscus (mm) at the joint space. injuries to the medial col are more common in horses and may be associated with other soft tissue injuries within the stifle. injuries to the medial col may be occur in acute or chronic form. the acute form usually occurs immediately following a traumatic event or fall, in which the horse usually presents with an acute onset of severe lameness. when injuries are chronic in nature, horses usually present with mild lameness, decreased stride length, and toe dragging on the affected side. there may also be varying amounts of soft tissue swelling and pain present.col injuries to the tarsus: the col of the hock consist of long and short groups medially and laterally that run at almost ninety degrees to each other, providing significant stability in a wide range of positions. affected horses usually present with hindlimb lameness of variable severity that gets worse with exercise. there may also be swelling, thickening and pain of the soft tissues surrounding the affected area.col injury to the elbow: horses present with a variable degree of lameness, but it is typically severe in the acute stages. the resultant lameness after this acute phase is dependent upon the degree of injury to the region if the elbow is destabilized.",https://horsedvm.com/disease/collateral-ligament-injury-in-horses
compartment syndrome,accidents,"severe lameness, dropped elbow appearance, pain on palpation, increased firmness with pressure, decrease in skin sensation, swelling, decreased range of motion, decreased pulse quality in the affected limb, area feels cold to touch","compartment syndrome is a rare cause of acute onset of severe unilateral forelimb lameness in horses. it is considered an emergency condition which occurs when pressure within a portion of a body compartment which contains muscles and nerves builds up to dangerous levels. the increased pressure decreases blood flow to the affected tissues which prevents oxygen from getting to the nerve and muscle cells. left untreated, this condition can result in permanent damage to the tissues and can cause a loss of function of the limb. compartment syndrome can occur due to trauma (collision with a fixed object, fall, or kick from another horse), thermal injuries, or wrapping a horse's legs too tightly. compartment syndrome can occur in acute or chronic form. acute form involves severe high pressure in the compartment following a single incident, and the chronic form is an exercised induced condition in which the pressure in the muscles increases to extreme levels during exercise.",https://horsedvm.com/disease/compartment-syndrome-in-horses
congenital heart defects,cardiovascular,"poor performance, rapid breathing, cyanosis, coughing, weakness, loss of body condition, lameness, jugular pulse, lower leg or abdominal swelling, weight loss, fainting, stunted growth","congenital heart defects are problems with the heart's structure that are present at birth. these defects can involve the interior walls of the heart, the valves inside the heart, or the arteries and veins that carry blood to the heart or the body. congenital heart defects change the normal flow of blood through the heart. approximately 3% of all horses presented for a cardiovascular workup are diagnosed with congenital heart disease. in addition, 90% of newborn foals have been reported to have audible murmurs and 96% to have various cardiac arrhythmias which normally disappear by 15 minutes post-partum. it is important to detect a congenital heart defect as early as possible. certain defects can be corrected with surgery, and treatment should be performed before the defect leads to congestive heart failure or irreversible heart damage. if the defect is discovered in a recently purchased horse, you may be able to return it for a refund. horses with congenital heart defects are likely to die prematurely, causing emotional distress. animals purchased for performance have limited potential and will likely be unsatisfactory. early detection also prevents continuing genetic defects into breeding lines. the most frequent congenital heart defects found in horses are ventricular septal defects (vsd), followed by patent ductus arteriosus (pda), atrial septal defect, patent foramen ovale, valvular dysplasia and atresia.",https://horsedvm.com/disease/congenital-heart-defect-in-horses
contact dermatitis,integumentary,"hair loss, dry skin, itching, reddening of skin, crusting","contact dermatitis is an inflammatory skin reaction resulting from direct-contact with an irritating agent and horse's skin. moisture (humid weather, sweating, bathing, etc.) enhances the reaction. pruritus (itching) might be mild to severe, sometimes painful. primary lesions include the development of papules and vesicles, followed by a wide range of types of secondary lesions which occur as a result of the horse's reaction to the itching. there are many types of plants that are capable of causing contact dermatitis in horses, some of these include: bleeding heart: bleeding heart, also known as dicentra spectabilis is a herbaceous perennial with distinctive dangling, pink w/ white heart-shaped flowers which resemble hearts. although this plant doesn't normally grow in horse pastures, it can be placed around the vicinity of barns for ornamental purposes or sometimes in gardens. if horses gain access to these areas then they could could potentially develop contact dermatitis if they brush up against this plant.daffodil: daffodils (narcissus spp.) are a popular spring-flowering bulb which blooms early spring. daffodils develop attractive, yellow to cream-colored flowers that are usually single or in small groups, each having 6 petals with a trumpet-shaped corona in the middle of the flower. these flowers are seen quite often in horse pastures for whatever reason, and are also often planted near or in barns for ornamental purposes.buttercup: tall buttercup (ranunculus acris) is a perennial that is often seen in horse pastures late spring, with a peak growth during the early summer months. it usually isn't a problem, however it can be if buttercup growth is the dominate species of plant in the pasture and horses can't help but be exposed.sneezeweed: sneezeweed (helenium autumnale) is a tall, coarse, early smooth perennial herb from the daisy (asteraceae) family. it produces numerous yellow flower blossoms during the late summer months. it is native to the united states and mexico and is found in subtropical to warm temperate climates. it is commonly found in overgrown, weedy pastures and along fence lines during the mid to late summer months. there are a wide range of causes of contact dermatitis---as it can be caused by anything from a particular clothing-like material (cotton, jute, chrome, hemp, etc.) used in blankets, fly sheets, leg wraps, towel, saddle pad, girth, or even something worn by the handler), grooming tool (particular brush), topical insecticides and shampoos, stall bedding, medication, and certain types of plants found in the pasture or within the stable yard or within reach of the horse (contact dermatitis-causing plants). the location of the reaction can usually aid in the determination of its cause. a reaction in the girth region is likely related to the material the girth is made from. a reaction on the lower limbs of the horse would most likely be the cause of contact-dermatitis causing plants or a reaction to leg wrap material.",https://horsedvm.com/disease/contact-dermatitis
contagious equine metritis (cem),infectious,"copious mucopurulent vaginal discharge, dried vaginal discharge on the inside of the thighs, temporary infertility, early abortion","contagious equine metritis (cem) is a highly contagious venereal disease of horses that is characterized by endometritis, transient infertility, or rarely abortion. the disease is caused by taylorella equigenitalis, a gram-negative coccobacillus bacterium. cem is an oie-listed disease. in the united states, cem is classified as a reported disease and rigorous testing, treatment, quarantine procedures, and surveillance of infected and exposed horses has taken place to minimize outbreaks. cem has the potential to cause substantial economic damage in valuable equine breeding operations. the disease has the potential to cause widespread outbreaks of transient infertility in mares, due to the increased international movement of stallions between countries. clinical signs horses that become infected with cem may develop large amounts of mucopurulent vaginal and cervical discharge within 48 hours of exposure, lasting 2-3 weeks. the hallmark sign of cem is transient infertility. transmitted taylorella equigenitalis is spread by asymptomatic carrier stallions (stallions that are infected with cem but show no outward clinical signs of disease) and infected mares during mating or indirect genital contact with contaminated fomites (breeding equipment, wash buckets, mounting blocks, etc.). it can also be spread during the semen collection process. incubation period the incubation period is 2 to 14 days; most infections become apparent 10 to 14 days after breeding. treatment both mares and stallions can be successfully treated using disinfectant scrubs and antimicrobials. most importantly, after treatment, fertility appears to return to normal in recovered horses. the united states has detected a small number of cem cases in post-arrival quarantine.",https://horsedvm.com/disease/contagious-equine-metritis
contracted heels,hoof,"narrowing of heel, warmth, lameness, shortened stride, frog atrophies, occurring in forelegs","contracted heels is a condition in which the inner and outer buttresses of the foot becomes narrower than normal, with potential atrophy of the frog. it usually occurs in the front feet, but can also affect the back feet of the horse. a horse's foot is considered contracted if the frog width is less than two-thirds the frog length. the condition occurs in horses of all ages. in younger horses, it can be congenital or acquired. horses can develop contacted heels as a result of genetics or through environmental or managerial factors such as long term stall rest, insufficient exercise, excessive moisture, disproportionate load balance on the frog and heel, and the result of improper shoeing. if the farrier removes the frog during each hoot trimming, the lack of frog pressure can cause contracted heels. horses having long toe/low heels or overgrown hooves can also cause contracted heels. long toes decrease the expansion of the hoof when the foot hits the ground, which causes the heels to contract.",https://horsedvm.com/disease/contracted-heels-in-horses
corn,hoof,"discoloration on sole of foot, pain on hoof tester pressure, mild to moderate forelimb lameness, heat in the foot, increased digital pulse","a 'corn' is a bruise on the horse's foot which is specifically located in the caudal sole at the buttress, which is the angle between the wall and the bar. the location is commonly referred to as the 'seat of the corn'. corns can be dry, moist, or infected. they are caused by an improperly placed horseshoe, leaving horseshoes on too long which causes pressure on the buttress, or due to horseshoes that have been fitted too close to the quarters or are too small for the horse's foot.",https://horsedvm.com/disease/corns-in-horses
corneal ulceration,sensory,"blepharospasm, eye pain, light sensitivity, eye discharge, watery eye, corneal edema, repeated rubbing of the eye, slight droopiness of the eyelashes of the upper eyelid","corneal ulceration occurs when there has been loss of the corneal epithelium and exposure of the underlying corneal stroma. it is common in horses and is a sight-threatening disease that requires prompt, early attention and aggressive accurate treatment. the corneal epithelium of the horse serves as a barrier against invasion of potentially pathogenic bacteria or fungi normally present on the surface of the cornea and conjunctiva. a horse with a corneal ulceration can allow bacteria or fungi to potentially invade the cornea and cause a secondary infection. corneal ulcers can range from simple, superficial abrasions in the corneal epithelium to full-thickness corneal perforations with iris prolapse. however, no matter how small or superficial a corneal ulcer may be, it is still highly susceptible to infection and still requires quick, appropriate treatment. corneal ulcers can be traumatic or non-traumatic, and may be sterile or infected (usually bacterial but sometimes fungal). corneal ulcers are detected during an eye exam through florescein staining.",https://horsedvm.com/disease/corneal-ulcer-in-horses
curb,musculoskeletal,"mild, often transient lameness, small, firm swelling on the back of the hock","curb is the inflammation and thickening of the plantar tarsal ligament, a ligament that is located near the hock joint. the plantar ligament runs down the back of the calcaneus and attaches onto the back of the lower tarsal bones and the top of the cannon and splint bones. this resulting in the appearance of a small, firm swelling just below the point of the hock (referred to as the calcaneus), on the back of the leg. it is most apparent from a side view of the leg. in the initial, early stages when the swelling first develops, horses may also show mild lameness. curb can occur as a result of trauma such as from getting kicked by another horse or kicking a solid object, sudden overflexion of the hock (often the result of sliding stops), or from chronic strain on the ligament due to faulty conformation (especially horses with sickle hocks).",https://horsedvm.com/disease/curb-in-horses
cushing's disease,seniors,"long, wavy/curly coat that doesn't shed in the spring, excessive drinking and urinating, recurrent infections (sole abscesses, tooth root infections, sinusitis, etc.), sweats more easily than other horses, lethargy, loss of muscle mass, pot-bellied appearance, loss of reproductive cycle/infertility in mares, bulging eyes, weight loss despite good appetite","pituitary pars intermedia dysfunction (ppid), commonly known as cushing's disease, is one of the most common endocrine disorders in horses and ponies. it most commonly affects older horses (with the average horse age being approximately 20 years of age), however it has been reported in horses as young as seven years old. overall, the majority (over 85%) of horses diagnosed with ppid are older than 15 years of age. ppid is caused by an enlargement of a portion of the pituitary gland (an important gland that is located at the base of the horse's brain). clinical signs horses with ppid typically are older horses that present with pasture-associated or seasonal laminitis, hair coat abnormalities (such as delayed, incomplete, curling of, excessive growth, or lack of hair coat shedding upon the warmer months of the year), and generalized muscle wasting/weight loss. affected horses often have a history of impaired or delayed healing of wounds, which is a result of immune suppression associated with the disease. they are prone to recurring abscesses, tooth infections, sinusitis, and higher intestinal parasite loads than normal horses. upon progression of the disease, horses may also have muscle atrophy along their back and develop a 'potbellied' appearance. complications chronic laminitis: horses with ppid have an increased risk of developing laminitis, especially during the spring when turned out to pasture with lush grass.insulin resistance: horses with ppid are often prone to developing insulin resistance, meaning that glucose is not absorbed from the bloodstream into the body's cells as it should, resulting in high levels of glucose in the blood.high parasite load: horses with ppid are shown to have higher intestinal parasite loads than normal horses.neurological signs: as the pituitary gland continues to grow, it can often exert pressure to other portions of the horse's brain, which can on rare occasion cause the onset of neurological signs.ppid vs equine metabolic syndrome (ems) ppid and ems are both very common endocrine disorders, affecting up to 30% of certain breeds of horses and ponies. however, they are very distinct diseases which require different approaches with respect to treatment. ppid usually affects older horses with excessive hair coats in contrast to ems which most often affects younger-to-middle-aged animals with normal hair coats. ems vs ppidppid and ems share several similarities. both are endocrine disorders. both are associated with horses that have a history of acute or chronic laminitis, especially seasonal or pasture-associated. the onset of laminitis in both disorders has been related to underlying insulin dysregulation. on rare occasions, ems and ppid can occur concurrently in horses. hormonal testing is required to properly diagnosis both ems and ppid.",https://horsedvm.com/disease/cushings-disease
cyanide toxicity,toxic,"drooling, difficulty breathing, sudden death, collapse, staggering, bright red mucous membranes, blood is a bright cherry red color, convulsions, coma, hindlimb incoordination, low blood pressure, weight loss, urinary incontinence","cyanide toxicity is relatively common in horses due to the large number of cyanogenic forage plants such as sorghum, sudan grasses and corn. the amount of cyanide present in these plants are highly variable, but are typically highest during the spring while blooming. drought and dry growing conditions enhance the accumulation of cyanogenic glycosides in many of these plants as well. once ingested, the toxin is quickly absorbed from the horse's gastrointestinal tract, and into the bloodstream. once in the blood, it travels all over the body and inhibits blood cells from delivering oxygen to tissue cells. the blood becomes supersaturated with oxygen and appears bright red. cyanide essentially inhibits the use of oxygen by the cells in the horse's body, causing them to eventually suffocate to death. plants capable of producing high levels of cyanide:apricotarrowgrasscherry treesbitter almondelderberryjohnsongrasspeachsudangrasswhite clover an increase in toxicity in plants containing cyanogenic glycosides can be caused by a number of factors which include:stage of plant growth: generally, cyanide toxin levels are highest when the plant is young and/or rapidly growing.plant part: certain plant parts tend to accumulate higher cyanide levels than others. for example, the leaves of cyanide-accumulating forage grasses were found to produce 25 times more cyanide than the stems.wet leaves, such as from dew or rainenvironmental stresses: such as drought, frost, hail, and flooding.a high nitrogen to phosphorus ratio in the soilherbicides can increase both the toxicity and the palatability of the plantsany stressful condition that inhibits the growth of the plant can cause higher amounts of cyanide to develop. symptoms of cyanide toxicity symptoms of acute poisoning usually occur within ten minutes of ingestion. most common clinical signs include:initial excitability with muscle tremorssalivationlabored breathingmuscular incoordinationgaspingconvulsions",https://horsedvm.com/disease/cyanide-poisoning
